Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
472,Miles McBride\mcbrimi01,PG,21,NYK,26,2,201,3.2,11.6,.277,1.3,6.6,.189,2.0,5.0,.393,0.5,1.1,.500,0.4,3.2,3.6,4.8,1.6,0.2,0.7,4.7,8.2
473,Mac McClung\mccluma01,PG,23,CHI,1,0,3,12.0,12.0,1.000,0.0,0.0,,12.0,12.0,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,24.0
474,CJ McCollum\mccolcj01,SG,30,TOT,46,46,1625,8.7,19.1,.455,3.1,8.0,.388,5.6,11.1,.503,1.7,2.4,.722,1.0,3.6,4.7,5.0,1.1,0.5,2.0,2.1,22.2
475,CJ McCollum\mccolcj01,SG,30,POR,36,36,1267,8.2,18.9,.436,3.2,8.2,.384,5.1,10.7,.476,1.4,1.9,.706,1.0,3.4,4.3,4.6,1.0,0.6,2.0,2.2,21.0
476,CJ McCollum\mccolcj01,SG,30,NOP,10,10,358,10.2,19.6,.518,2.9,7.2,.403,7.2,12.4,.585,3.0,4.0,.750,1.3,4.4,5.7,6.1,1.3,0.0,1.9,1.9,26.2
477,T.J. McConnell\mccontj01,PG,29,IND,24,6,581,5.6,11.2,.503,0.4,1.5,.280,5.2,9.7,.538,0.7,0.9,.800,1.2,3.8,5.0,7.1,1.5,0.6,1.7,2.7,12.5
478,Jaden McDaniels\mcdanja02,PF,21,MIN,63,28,1635,5.0,11.2,.447,1.6,5.2,.311,3.4,6.0,.564,1.2,1.5,.791,1.6,4.3,5.9,1.6,1.1,1.0,1.5,4.6,12.8
479,Jalen McDaniels\mcdanja01,SF,24,CHO,39,2,685,5.1,10.4,.492,1.7,4.5,.372,3.4,5.8,.586,1.6,2.4,.674,1.5,5.6,7.1,2.3,1.1,0.8,1.6,3.7,13.5
480,Doug McDermott\mcderdo01,PF,30,SAS,49,49,1197,6.4,13.7,.465,3.2,7.5,.428,3.2,6.2,.510,1.1,1.4,.761,0.5,2.9,3.5,1.9,0.4,0.2,1.2,2.3,17.0
481,JaVale McGee\mcgeeja01,C,34,PHO,58,14,910,9.2,14.4,.640,0.1,0.3,.286,9.1,14.1,.647,3.0,4.4,.688,5.1,10.4,15.5,1.4,0.7,2.4,3.0,5.4,21.6
482,Cameron McGriff\mcgrica01,SF,24,POR,3,0,46,3.9,11.0,.357,1.6,4.7,.333,2.3,6.3,.375,1.6,1.6,1.000,4.7,7.0,11.7,2.3,0.0,0.8,0.0,5.5,11.0
483,Rodney McGruder\mcgruro01,SG,30,DET,40,1,544,4.4,9.9,.440,2.5,6.2,.409,1.9,3.8,.491,0.8,1.2,.667,1.5,3.8,5.2,2.1,1.0,0.3,0.9,2.7,12.0
484,Alfonzo McKinnie\mckinal01,SF,29,CHI,17,3,206,4.2,10.7,.393,1.6,4.7,.333,2.6,5.9,.441,0.3,1.4,.250,2.3,3.5,5.8,0.9,0.3,0.5,1.2,4.5,10.3
485,JaQuori McLaughlin\mclauja01,PG,24,DAL,4,0,11,0.0,6.5,.000,0.0,3.3,.000,0.0,3.3,.000,0.0,0.0,,0.0,0.0,0.0,6.5,0.0,0.0,0.0,3.3,0.0
486,Jordan McLaughlin\mclaujo01,PG,25,MIN,48,3,650,3.1,8.1,.381,0.7,3.2,.228,2.4,5.0,.478,1.4,1.9,.735,0.8,3.2,4.0,7.7,2.3,0.3,1.5,1.9,8.3
487,Ben McLemore\mclembe01,SG,28,POR,47,6,880,5.6,14.5,.383,4.2,11.5,.362,1.4,3.0,.466,1.6,1.9,.830,0.5,2.5,2.9,1.7,0.9,0.2,1.5,2.8,16.9
488,De'Anthony Melton\meltode01,SG,23,MEM,57,13,1293,5.6,14.6,.385,2.5,7.4,.337,3.1,7.3,.433,1.9,2.6,.728,1.5,5.7,7.2,4.3,2.6,0.9,2.3,2.7,15.6
489,Sam Merrill\merrisa01,SG,25,MEM,6,0,58,5.0,14.9,.333,4.3,14.3,.304,0.6,0.6,1.000,1.2,2.5,.500,0.6,3.7,4.3,2.5,0.0,0.0,1.2,1.9,15.5
490,Chimezie Metu\metuch01,C,24,SAC,45,20,950,5.5,12.7,.434,1.6,5.5,.283,3.9,7.2,.550,1.9,2.5,.773,1.1,8.5,9.5,1.8,1.3,0.9,1.6,2.4,14.5
491,Khris Middleton\middlkh01,SF,30,MIL,53,53,1715,7.6,17.0,.446,2.6,7.2,.365,5.0,9.9,.504,4.6,5.2,.887,0.7,5.3,6.1,5.8,1.2,0.3,3.3,2.7,22.4
492,C.J. Miles\milescj01,SG,34,BOS,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
493,Patty Mills\millspa02,PG,33,BRK,64,44,1944,5.3,12.6,.417,3.6,8.7,.414,1.7,3.9,.425,0.8,1.0,.811,0.3,2.2,2.5,3.0,0.8,0.3,1.1,1.7,14.9
494,Paul Millsap\millspa01,PF,36,TOT,31,0,343,4.5,11.4,.394,0.8,3.6,.235,3.7,7.9,.467,1.7,2.4,.696,4.2,7.3,11.5,2.9,0.8,1.3,1.8,6.4,11.5
495,Paul Millsap\millspa01,PF,36,BRK,24,0,270,4.3,11.3,.376,0.8,3.6,.222,3.5,7.7,.448,1.6,2.3,.706,3.9,8.0,11.9,3.2,0.7,1.5,1.5,6.4,10.9
496,Paul Millsap\millspa01,PF,36,PHI,7,0,73,5.4,11.8,.458,1.0,3.5,.286,4.4,8.4,.529,2.0,3.0,.667,5.4,4.9,10.4,2.0,1.5,0.5,3.0,6.4,13.8
497,Shake Milton\miltosh01,PG,25,PHI,37,6,851,5.5,13.0,.422,1.2,4.0,.295,4.3,9.0,.479,2.1,2.5,.862,0.9,3.6,4.6,4.0,1.0,0.5,1.7,3.0,14.3
498,Davion Mitchell\mitchda01,PG,23,SAC,60,8,1538,5.8,14.3,.401,1.8,5.9,.307,4.0,8.5,.467,0.7,1.1,.571,0.7,2.4,3.1,4.7,1.0,0.4,1.7,2.6,14.0
499,Donovan Mitchell\mitchdo01,SG,25,UTA,52,52,1749,9.8,21.7,.452,3.7,10.4,.355,6.1,11.4,.540,4.2,4.9,.845,0.9,3.4,4.3,5.8,1.7,0.2,3.2,2.7,27.5
